country,year,sex,age,suicides_no
Albania,2002,female,55-74 years,4
Albania,2002,female,5-14 years,1
Albania,2002,male,5-14 years,1
Albania,2003,female,75+ years,6
Albania,2003,male,55-74 years,16
Albania,2003,male,35-54 years,28
Albania,2003,male,15-24 years,15
Albania,2003,female,15-24 years,14
Albania,2003,female,55-74 years,9
Albania,2003,male,25-34 years,9
Albania,2003,female,25-34 years,9
Albania,2003,female,35-54 years,13
Albania,2003,male,75+ years,1
Albania,2003,male,5-14 years,4
Albania,2003,female,5-14 years,0
Albania,2004,male,75+ years,4
Albania,2004,male,35-54 years,39
Albania,2004,male,25-34 years,16
Albania,2004,female,15-24 years,20
Albania,2004,male,15-24 years,19
Albania,2004,female,75+ years,3
Albania,2004,female,25-34 years,11
Albania,2004,male,55-74 years,10
Albania,2004,female,35-54 years,17
Albania,2004,female,55-74 years,3
Albania,2004,female,5-14 years,3
Albania,2004,male,5-14 years,1
Albania,2005,female,15-24 years,0
Albania,2005,female,25-34 years,0
Albania,2005,female,35-54 years,0
Albania,2005,female,5-14 years,0
Albania,2005,female,55-74 years,0
Albania,2005,female,75+ years,0
Albania,2005,male,15-24 years,0
Albania,2005,male,25-34 years,0
Albania,2005,male,35-54 years,0
Albania,2005,male,5-14 years,0
Albania,2005,male,55-74 years,0
Albania,2005,male,75+ years,0
Albania,2006,female,15-24 years,0
Albania,2006,female,25-34 years,0
Albania,2006,female,35-54 years,0
Albania,2006,female,5-14 years,0
Albania,2006,female,55-74 years,0
Albania,2006,female,75+ years,0
Albania,2006,male,15-24 years,0
Albania,2006,male,25-34 years,0
Albania,2006,male,35-54 years,0
Albania,2006,male,5-14 years,0
Albania,2006,male,55-74 years,0
Albania,2006,male,75+ years,0
Albania,2007,male,75+ years,8
Albania,2007,male,35-54 years,29
Albania,2007,male,55-74 years,14
Albania,2007,female,75+ years,3
Albania,2007,male,25-34 years,9
Albania,2007,female,15-24 years,13
Albania,2007,male,15-24 years,13
Albania,2007,female,25-34 years,8
Albania,2007,female,55-74 years,9
Albania,2007,female,35-54 years,14
Albania,2007,male,5-14 years,4
Albania,2007,female,5-14 years,0
Albania,2008,male,25-34 years,21
Albania,2008,male,35-54 years,37
Albania,2008,male,55-74 years,21
Albania,2008,female,75+ years,5
Albania,2008,female,15-24 years,20
Albania,2008,female,25-34 years,9
Albania,2008,female,35-54 years,19
Albania,2008,male,75+ years,2
Albania,2008,male,15-24 years,11
Albania,2008,female,55-74 years,7
Albania,2008,male,5-14 years,7
Albania,2008,female,5-14 years,1
Albania,2009,female,15-24 years,0
Albania,2009,female,25-34 years,0
Albania,2009,female,35-54 years,0
Albania,2009,female,5-14 years,0
Albania,2009,female,55-74 years,0
Albania,2009,female,75+ years,0
Albania,2009,male,15-24 years,0
Albania,2009,male,25-34 years,0
Albania,2009,male,35-54 years,0
Albania,2009,male,5-14 years,0
Albania,2009,male,55-74 years,0
Albania,2009,male,75+ years,0
Albania,2010,male,55-74 years,20
Albania,2010,male,35-54 years,20
Albania,2010,male,25-34 years,9
Albania,2010,male,75+ years,2
Albania,2010,male,15-24 years,10
Albania,2010,female,25-34 years,6
Albania,2010,female,75+ years,2
Albania,2010,female,35-54 years,12
Albania,2010,female,55-74 years,7
Albania,2010,female,15-24 years,6
Albania,2010,female,5-14 years,2
Albania,2010,male,5-14 years,0
Antigua and Barbuda,1985,female,15-24 years,0
Antigua and Barbuda,1985,female,25-34 years,0
Antigua and Barbuda,1985,female,35-54 years,0
Antigua and Barbuda,1985,female,5-14 years,0
Antigua and Barbuda,1985,female,55-74 years,0
Antigua and Barbuda,1985,female,75+ years,0
Antigua and Barbuda,1985,male,15-24 years,0
Antigua and Barbuda,1985,male,25-34 years,0
Antigua and Barbuda,1985,male,35-54 years,0
Antigua and Barbuda,1985,male,5-14 years,0
Antigua and Barbuda,1985,male,55-74 years,0
Antigua and Barbuda,1985,male,75+ years,0
Antigua and Barbuda,1986,female,15-24 years,0
Antigua and Barbuda,1986,female,25-34 years,0
Antigua and Barbuda,1986,female,35-54 years,0
Antigua and Barbuda,1986,female,5-14 years,0
Antigua and Barbuda,1986,female,55-74 years,0
Antigua and Barbuda,1986,female,75+ years,0
Antigua and Barbuda,1986,male,15-24 years,0
Antigua and Barbuda,1986,male,25-34 years,0
Antigua and Barbuda,1986,male,35-54 years,0
Antigua and Barbuda,1986,male,5-14 years,0
Antigua and Barbuda,1986,male,55-74 years,0
Antigua and Barbuda,1986,male,75+ years,0
Antigua and Barbuda,1987,female,15-24 years,0
Antigua and Barbuda,1987,female,25-34 years,0
Antigua and Barbuda,1987,female,35-54 years,0
Antigua and Barbuda,1987,female,5-14 years,0
Antigua and Barbuda,1987,female,55-74 years,0
Antigua and Barbuda,1987,female,75+ years,0
Antigua and Barbuda,1987,male,15-24 years,0
Antigua and Barbuda,1987,male,25-34 years,0
Antigua and Barbuda,1987,male,35-54 years,0
Antigua and Barbuda,1987,male,5-14 years,0
Antigua and Barbuda,1987,male,55-74 years,0
Antigua and Barbuda,1987,male,75+ years,0
Antigua and Barbuda,1988,female,15-24 years,0
Antigua and Barbuda,1988,female,25-34 years,0
Antigua and Barbuda,1988,female,35-54 years,0
Antigua and Barbuda,1988,female,5-14 years,0
Antigua and Barbuda,1988,female,55-74 years,0
Antigua and Barbuda,1988,female,75+ years,0
Antigua and Barbuda,1988,male,15-24 years,0
Antigua and Barbuda,1988,male,25-34 years,0
Antigua and Barbuda,1988,male,35-54 years,0
Antigua and Barbuda,1988,male,5-14 years,0
Antigua and Barbuda,1988,male,55-74 years,0
Antigua and Barbuda,1988,male,75+ years,0
Antigua and Barbuda,1989,female,15-24 years,0
Antigua and Barbuda,1989,female,25-34 years,0
Antigua and Barbuda,1989,female,35-54 years,0
Antigua and Barbuda,1989,female,5-14 years,0
Antigua and Barbuda,1989,female,55-74 years,0
Antigua and Barbuda,1989,female,75+ years,0
Antigua and Barbuda,1989,male,15-24 years,0
Antigua and Barbuda,1989,male,25-34 years,0
Antigua and Barbuda,1989,male,35-54 years,0
Antigua and Barbuda,1989,male,5-14 years,0
Antigua and Barbuda,1989,male,55-74 years,0
Antigua and Barbuda,1989,male,75+ years,0
Antigua and Barbuda,1990,male,35-54 years,1
Antigua and Barbuda,1990,female,15-24 years,0
Antigua and Barbuda,1990,female,25-34 years,0
Antigua and Barbuda,1990,female,35-54 years,0
Antigua and Barbuda,1990,female,5-14 years,0
Antigua and Barbuda,1990,female,55-74 years,0
Antigua and Barbuda,1990,female,75+ years,0
Antigua and Barbuda,1990,male,15-24 years,0
Antigua and Barbuda,1990,male,25-34 years,0
Antigua and Barbuda,1990,male,5-14 years,0
Antigua and Barbuda,1990,male,55-74 years,0
Antigua and Barbuda,1990,male,75+ years,0
Antigua and Barbuda,1991,female,15-24 years,0
Antigua and Barbuda,1991,female,25-34 years,0
Antigua and Barbuda,1991,female,35-54 years,0
Antigua and Barbuda,1991,female,5-14 years,0
Antigua and Barbuda,1991,female,55-74 years,0
Antigua and Barbuda,1991,female,75+ years,0
Antigua and Barbuda,1991,male,15-24 years,0
Antigua and Barbuda,1991,male,25-34 years,0
Antigua and Barbuda,1991,male,35-54 years,0
Antigua and Barbuda,1991,male,5-14 years,0
Antigua and Barbuda,1991,male,55-74 years,0
Antigua and Barbuda,1991,male,75+ years,0
Antigua and Barbuda,1992,female,15-24 years,0
Antigua and Barbuda,1992,female,25-34 years,0
Antigua and Barbuda,1992,female,35-54 years,0
Antigua and Barbuda,1992,female,5-14 years,0
Antigua and Barbuda,1992,female,55-74 years,0
Antigua and Barbuda,1992,female,75+ years,0
Antigua and Barbuda,1992,male,15-24 years,0
Antigua and Barbuda,1992,male,25-34 years,0
Antigua and Barbuda,1992,male,35-54 years,0
Antigua and Barbuda,1992,male,5-14 years,0
Antigua and Barbuda,1992,male,55-74 years,0
Antigua and Barbuda,1992,male,75+ years,0
Antigua and Barbuda,1993,male,25-34 years,1
Antigua and Barbuda,1993,female,15-24 years,0
Antigua and Barbuda,1993,female,25-34 years,0
Antigua and Barbuda,1993,female,35-54 years,0
Antigua and Barbuda,1993,female,5-14 years,0
Antigua and Barbuda,1993,female,55-74 years,0
Antigua and Barbuda,1993,female,75+ years,0
Antigua and Barbuda,1993,male,15-24 years,0
Antigua and Barbuda,1993,male,35-54 years,0
Antigua and Barbuda,1993,male,5-14 years,0
Antigua and Barbuda,1993,male,55-74 years,0
Antigua and Barbuda,1993,male,75+ years,0
Antigua and Barbuda,1994,female,15-24 years,0
Antigua and Barbuda,1994,female,25-34 years,0
Antigua and Barbuda,1994,female,35-54 years,0
Antigua and Barbuda,1994,female,5-14 years,0
Antigua and Barbuda,1994,female,55-74 years,0
Antigua and Barbuda,1994,female,75+ years,0
Antigua and Barbuda,1994,male,15-24 years,0
Antigua and Barbuda,1994,male,25-34 years,0
Antigua and Barbuda,1994,male,35-54 years,0
Antigua and Barbuda,1994,male,5-14 years,0
Antigua and Barbuda,1994,male,55-74 years,0
Antigua and Barbuda,1994,male,75+ years,0
Antigua and Barbuda,1995,female,15-24 years,0
Antigua and Barbuda,1995,female,25-34 years,0
Antigua and Barbuda,1995,female,35-54 years,0
Antigua and Barbuda,1995,female,5-14 years,0
Antigua and Barbuda,1995,female,55-74 years,0
Antigua and Barbuda,1995,female,75+ years,0
Antigua and Barbuda,1995,male,15-24 years,0
Antigua and Barbuda,1995,male,25-34 years,0
Antigua and Barbuda,1995,male,35-54 years,0
Antigua and Barbuda,1995,male,5-14 years,0
Antigua and Barbuda,1995,male,55-74 years,0
Antigua and Barbuda,1995,male,75+ years,0
Antigua and Barbuda,1998,female,15-24 years,0
Antigua and Barbuda,1998,female,25-34 years,0
Antigua and Barbuda,1998,female,35-54 years,0
Antigua and Barbuda,1998,female,5-14 years,0
Antigua and Barbuda,1998,female,55-74 years,0
Antigua and Barbuda,1998,female,75+ years,0
Antigua and Barbuda,1998,male,15-24 years,0
Antigua and Barbuda,1998,male,25-34 years,0
Antigua and Barbuda,1998,male,35-54 years,0
Antigua and Barbuda,1998,male,5-14 years,0
Antigua and Barbuda,1998,male,55-74 years,0
Antigua and Barbuda,1998,male,75+ years,0
Antigua and Barbuda,1999,female,15-24 years,0
Antigua and Barbuda,1999,female,25-34 years,0
Antigua and Barbuda,1999,female,35-54 years,0
Antigua and Barbuda,1999,female,5-14 years,0
Antigua and Barbuda,1999,female,55-74 years,0
Antigua and Barbuda,1999,female,75+ years,0
Antigua and Barbuda,1999,male,15-24 years,0
Antigua and Barbuda,1999,male,25-34 years,0
Antigua and Barbuda,1999,male,35-54 years,0
Antigua and Barbuda,1999,male,5-14 years,0
Antigua and Barbuda,1999,male,55-74 years,0
Antigua and Barbuda,1999,male,75+ years,0
Antigua and Barbuda,2000,male,55-74 years,1
Antigua and Barbuda,2000,male,35-54 years,1
Antigua and Barbuda,2000,female,15-24 years,0
Antigua and Barbuda,2000,female,25-34 years,0
Antigua and Barbuda,2000,female,35-54 years,0
Antigua and Barbuda,2000,female,5-14 years,0
Antigua and Barbuda,2000,female,55-74 years,0
Antigua and Barbuda,2000,female,75+ years,0
Antigua and Barbuda,2000,male,15-24 years,0
Antigua and Barbuda,2000,male,25-34 years,0
Antigua and Barbuda,2000,male,5-14 years,0
Antigua and Barbuda,2000,male,75+ years,0
Antigua and Barbuda,2001,male,35-54 years,2
Antigua and Barbuda,2001,female,15-24 years,0
Antigua and Barbuda,2001,female,25-34 years,0
Antigua and Barbuda,2001,female,35-54 years,0
Antigua and Barbuda,2001,female,5-14 years,0
Antigua and Barbuda,2001,female,55-74 years,0
Antigua and Barbuda,2001,female,75+ years,0
Antigua and Barbuda,2001,male,15-24 years,0
Antigua and Barbuda,2001,male,25-34 years,0
Antigua and Barbuda,2001,male,5-14 years,0
Antigua and Barbuda,2001,male,55-74 years,0
Antigua and Barbuda,2001,male,75+ years,0
Antigua and Barbuda,2002,female,15-24 years,0
Antigua and Barbuda,2002,female,25-34 years,0
Antigua and Barbuda,2002,female,35-54 years,0
Antigua and Barbuda,2002,female,5-14 years,0
Antigua and Barbuda,2002,female,55-74 years,0
Antigua and Barbuda,2002,female,75+ years,0
Antigua and Barbuda,2002,male,15-24 years,0
Antigua and Barbuda,2002,male,25-34 years,0
Antigua and Barbuda,2002,male,35-54 years,0
Antigua and Barbuda,2002,male,5-14 years,0
Antigua and Barbuda,2002,male,55-74 years,0
Antigua and Barbuda,2002,male,75+ years,0
Antigua and Barbuda,2003,male,55-74 years,1
Antigua and Barbuda,2003,female,15-24 years,0
Antigua and Barbuda,2003,female,25-34 years,0
Antigua and Barbuda,2003,female,35-54 years,0
Antigua and Barbuda,2003,female,5-14 years,0
Antigua and Barbuda,2003,female,55-74 years,0
Antigua and Barbuda,2003,female,75+ years,0
Antigua and Barbuda,2003,male,15-24 years,0
Antigua and Barbuda,2003,male,25-34 years,0
Antigua and Barbuda,2003,male,35-54 years,0
Antigua and Barbuda,2003,male,5-14 years,0
Antigua and Barbuda,2003,male,75+ years,0
Antigua and Barbuda,2004,male,55-74 years,1
Antigua and Barbuda,2004,male,35-54 years,1
Antigua and Barbuda,2004,female,15-24 years,0
Antigua and Barbuda,2004,female,25-34 years,0
Antigua and Barbuda,2004,female,35-54 years,0
Antigua and Barbuda,2004,female,5-14 years,0
Antigua and Barbuda,2004,female,55-74 years,0
Antigua and Barbuda,2004,female,75+ years,0
Antigua and Barbuda,2004,male,15-24 years,0
Antigua and Barbuda,2004,male,25-34 years,0
Antigua and Barbuda,2004,male,5-14 years,0
Antigua and Barbuda,2004,male,75+ years,0
Antigua and Barbuda,2005,female,15-24 years,0
Antigua and Barbuda,2005,female,25-34 years,0
Antigua and Barbuda,2005,female,35-54 years,0
Antigua and Barbuda,2005,female,5-14 years,0
Antigua and Barbuda,2005,female,55-74 years,0
Antigua and Barbuda,2005,female,75+ years,0
Antigua and Barbuda,2005,male,15-24 years,0
Antigua and Barbuda,2005,male,25-34 years,0
Antigua and Barbuda,2005,male,35-54 years,0
Antigua and Barbuda,2005,male,5-14 years,0
Antigua and Barbuda,2005,male,55-74 years,0
Antigua and Barbuda,2005,male,75+ years,0
Antigua and Barbuda,2006,female,15-24 years,0
Antigua and Barbuda,2006,female,25-34 years,0
Antigua and Barbuda,2006,female,35-54 years,0
Antigua and Barbuda,2006,female,5-14 years,0
Antigua and Barbuda,2006,female,55-74 years,0
Antigua and Barbuda,2006,female,75+ years,0
Antigua and Barbuda,2006,male,15-24 years,0
Antigua and Barbuda,2006,male,25-34 years,0
Antigua and Barbuda,2006,male,35-54 years,0
Antigua and Barbuda,2006,male,5-14 years,0
Antigua and Barbuda,2006,male,55-74 years,0
Antigua and Barbuda,2006,male,75+ years,0
Antigua and Barbuda,2007,male,35-54 years,1
Antigua and Barbuda,2007,female,15-24 years,0
Antigua and Barbuda,2007,female,25-34 years,0
Antigua and Barbuda,2007,female,35-54 years,0
Antigua and Barbuda,2007,female,5-14 years,0
Antigua and Barbuda,2007,female,55-74 years,0
Antigua and Barbuda,2007,female,75+ years,0
Antigua and Barbuda,2007,male,15-24 years,0
Antigua and Barbuda,2007,male,25-34 years,0
Antigua and Barbuda,2007,male,5-14 years,0
Antigua and Barbuda,2007,male,55-74 years,0
Antigua and Barbuda,2007,male,75+ years,0
Antigua and Barbuda,2008,female,15-24 years,0
Antigua and Barbuda,2008,female,25-34 years,0
Antigua and Barbuda,2008,female,35-54 years,0
Antigua and Barbuda,2008,female,5-14 years,0
Antigua and Barbuda,2008,female,55-74 years,0
Antigua and Barbuda,2008,female,75+ years,0
Antigua and Barbuda,2008,male,15-24 years,0
Antigua and Barbuda,2008,male,25-34 years,0
Antigua and Barbuda,2008,male,35-54 years,0
Antigua and Barbuda,2008,male,5-14 years,0
Antigua and Barbuda,2008,male,55-74 years,0
Antigua and Barbuda,2008,male,75+ years,0
Antigua and Barbuda,2009,female,15-24 years,0
Antigua and Barbuda,2009,female,25-34 years,0
Antigua and Barbuda,2009,female,35-54 years,0
Antigua and Barbuda,2009,female,5-14 years,0
Antigua and Barbuda,2009,female,55-74 years,0
Antigua and Barbuda,2009,female,75+ years,0
Antigua and Barbuda,2009,male,15-24 years,0
Antigua and Barbuda,2009,male,25-34 years,0
Antigua and Barbuda,2009,male,35-54 years,0
Antigua and Barbuda,2009,male,5-14 years,0
Antigua and Barbuda,2009,male,55-74 years,0
Antigua and Barbuda,2009,male,75+ years,0
Antigua and Barbuda,2012,female,15-24 years,0
Antigua and Barbuda,2012,female,25-34 years,0
Antigua and Barbuda,2012,female,35-54 years,0
Antigua and Barbuda,2012,female,5-14 years,0
Antigua and Barbuda,2012,female,55-74 years,0
Antigua and Barbuda,2012,female,75+ years,0
Antigua and Barbuda,2012,male,15-24 years,0
Antigua and Barbuda,2012,male,25-34 years,0
Antigua and Barbuda,2012,male,35-54 years,0
Antigua and Barbuda,2012,male,5-14 years,0
Antigua and Barbuda,2012,male,55-74 years,0
Antigua and Barbuda,2012,male,75+ years,0
Antigua and Barbuda,2013,female,15-24 years,0
Antigua and Barbuda,2013,female,25-34 years,0
Antigua and Barbuda,2013,female,35-54 years,0
Antigua and Barbuda,2013,female,5-14 years,0
Antigua and Barbuda,2013,female,55-74 years,0
Antigua and Barbuda,2013,female,75+ years,0
Antigua and Barbuda,2013,male,15-24 years,0
Antigua and Barbuda,2013,male,25-34 years,0
Antigua and Barbuda,2013,male,35-54 years,0
Antigua and Barbuda,2013,male,5-14 years,0
Antigua and Barbuda,2013,male,55-74 years,0
Antigua and Barbuda,2013,male,75+ years,0
Antigua and Barbuda,2014,female,15-24 years,0
Antigua and Barbuda,2014,female,25-34 years,0
Antigua and Barbuda,2014,female,35-54 years,0
Antigua and Barbuda,2014,female,5-14 years,0
Antigua and Barbuda,2014,female,55-74 years,0
Antigua and Barbuda,2014,female,75+ years,0
Antigua and Barbuda,2014,male,15-24 years,0
Antigua and Barbuda,2014,male,25-34 years,0
Antigua and Barbuda,2014,male,35-54 years,0
Antigua and Barbuda,2014,male,5-14 years,0
Antigua and Barbuda,2014,male,55-74 years,0
Antigua and Barbuda,2014,male,75+ years,0
Antigua and Barbuda,2015,female,55-74 years,1
Antigua and Barbuda,2015,female,15-24 years,0
Antigua and Barbuda,2015,female,25-34 years,0
Antigua and Barbuda,2015,female,35-54 years,0
Antigua and Barbuda,2015,female,5-14 years,0
Antigua and Barbuda,2015,female,75+ years,0
Antigua and Barbuda,2015,male,15-24 years,0
Antigua and Barbuda,2015,male,25-34 years,0
Antigua and Barbuda,2015,male,35-54 years,0
Antigua and Barbuda,2015,male,5-14 years,0
Antigua and Barbuda,2015,male,55-74 years,0
Antigua and Barbuda,2015,male,75+ years,0
Argentina,1985,male,75+ years,202
Argentina,1985,male,55-74 years,485
Argentina,1985,male,35-54 years,414
Argentina,1985,female,55-74 years,210
Argentina,1985,male,25-34 years,177
Argentina,1985,female,75+ years,41
Argentina,1985,male,15-24 years,156
Argentina,1985,female,35-54 years,142
Argentina,1985,female,25-34 years,65
Argentina,1985,female,15-24 years,69
Argentina,1985,male,5-14 years,16
Argentina,1985,female,5-14 years,11
Argentina,1986,male,75+ years,230
Argentina,1986,male,55-74 years,530
Argentina,1986,male,35-54 years,478
Argentina,1986,male,25-34 years,209
Argentina,1986,female,75+ years,48
Argentina,1986,female,55-74 years,201
Argentina,1986,male,15-24 years,186
Argentina,1986,female,35-54 years,188
Argentina,1986,female,25-34 years,96
Argentina,1986,female,15-24 years,101
Argentina,1986,male,5-14 years,10
Argentina,1986,female,5-14 years,7
Argentina,1987,male,75+ years,200
Argentina,1987,male,55-74 years,532
Argentina,1987,male,35-54 years,482
Argentina,1987,female,75+ years,57
Argentina,1987,female,55-74 years,224
Argentina,1987,male,25-34 years,192
Argentina,1987,male,15-24 years,179
Argentina,1987,female,35-54 years,209
Argentina,1987,female,25-34 years,89
Argentina,1987,female,15-24 years,93
Argentina,1987,male,5-14 years,15
Argentina,1987,female,5-14 years,14
Argentina,1988,male,75+ years,216
Argentina,1988,male,55-74 years,550
Argentina,1988,male,35-54 years,477
Argentina,1988,female,75+ years,61
Argentina,1988,female,55-74 years,233
Argentina,1988,male,25-34 years,215
Argentina,1988,male,15-24 years,211
Argentina,1988,female,35-54 years,198
Argentina,1988,female,15-24 years,101
Argentina,1988,female,25-34 years,61
Argentina,1988,male,5-14 years,20
Argentina,1988,female,5-14 years,11
Argentina,1989,male,75+ years,208
Argentina,1989,male,55-74 years,548
Argentina,1989,male,35-54 years,462
Argentina,1989,female,75+ years,65
Argentina,1989,male,25-34 years,219
Argentina,1989,female,55-74 years,201
Argentina,1989,male,15-24 years,186
Argentina,1989,female,35-54 years,166
Argentina,1989,female,25-34 years,83
Argentina,1989,female,15-24 years,80
Argentina,1989,male,5-14 years,18
Argentina,1989,female,5-14 years,11
Argentina,1990,male,75+ years,226
Argentina,1990,male,55-74 years,502
Argentina,1990,male,35-54 years,439
Argentina,1990,female,75+ years,61
Argentina,1990,male,25-34 years,182
Argentina,1990,female,55-74 years,190
Argentina,1990,male,15-24 years,174
Argentina,1990,female,35-54 years,163
Argentina,1990,female,15-24 years,91
Argentina,1990,female,25-34 years,76
Argentina,1990,male,5-14 years,22
Argentina,1990,female,5-14 years,14
Argentina,1991,male,75+ years,184
Argentina,1991,male,55-74 years,449
Argentina,1991,male,35-54 years,398
Argentina,1991,male,25-34 years,214
Argentina,1991,female,75+ years,50
Argentina,1991,female,55-74 years,169
Argentina,1991,male,15-24 years,179
Argentina,1991,female,35-54 years,133
Argentina,1991,female,25-34 years,77
Argentina,1991,female,15-24 years,61
Argentina,1991,male,5-14 years,28
Argentina,1991,female,5-14 years,9
Argentina,1992,male,75+ years,194
Argentina,1992,male,55-74 years,500
Argentina,1992,male,35-54 years,488
Argentina,1992,male,25-34 years,227
Argentina,1992,male,15-24 years,249
Argentina,1992,female,75+ years,46
Argentina,1992,female,55-74 years,147
Argentina,1992,female,35-54 years,140
Argentina,1992,female,25-34 years,79
Argentina,1992,female,15-24 years,79
Argentina,1992,male,5-14 years,22
Argentina,1992,female,5-14 years,13
Argentina,1993,male,75+ years,229
Argentina,1993,male,55-74 years,520
Argentina,1993,male,35-54 years,495
Argentina,1993,male,25-34 years,233
Argentina,1993,female,75+ years,58
